epoch,train_loss,val_loss,train_acc,val_acc,precision,recall,f1,learning_rate
1,1.0198682010145361,0.13759376098843,77.84186493631339,97.7291841883936,0.9783068182432054,0.977291841883936,0.9772756373566466,0.0003
2,0.11982184209157037,0.09478079346253683,97.18817591925018,98.31791421362489,0.9839286840161896,0.9831791421362489,0.9832641831799234,0.0003
3,0.1043857172742941,0.08410029968638953,97.88512376832492,98.40201850294365,0.9844947579140919,0.9840201850294366,0.9839261009929866,0.0003
4,0.09416359845364025,0.12971731598832106,98.1014179283826,97.14045416316232,0.9742801533173404,0.9714045416316233,0.9712175924428308,0.0003
5,0.08822195823944196,0.08634088783966083,98.48594087959626,98.40201850294365,0.9846175906760848,0.9840201850294366,0.9840169901251257,0.0003
6,0.06814875263891375,0.106668473539972,98.91852919971161,97.39276703111858,0.9760280421354872,0.9739276703111859,0.9734680613292985,5.9999999999999995e-05
7,0.05530506518726301,0.04909277726945124,99.25498678202355,98.73843566021867,0.9876729647734077,0.9873843566021867,0.9872794272316765,5.9999999999999995e-05
8,0.042340688295449125,0.046804036856261326,99.5914443643355,98.82253994953743,0.9884939830422974,0.9882253994953742,0.9881576089205216,5.9999999999999995e-05
9,0.039615867024497306,0.036942749100394155,99.68757510213891,99.2430613961312,0.9925263655435156,0.992430613961312,0.9923967179549115,5.9999999999999995e-05
10,0.045445093363861176,0.03750423751740815,99.66354241768805,99.2430613961312,0.9925863837441952,0.992430613961312,0.9924125504527059,5.9999999999999995e-05
11,0.035034802228875304,0.0346737123940042,99.66354241768805,99.15895710681245,0.9917356242587723,0.9915895710681245,0.9915617366321253,5.9999999999999995e-05
12,0.03899448037521651,0.03379333794031194,99.73564047104061,99.15895710681245,0.9918154277587734,0.9915895710681245,0.9915907035094982,5.9999999999999995e-05
13,0.027072598272134756,0.03348631030683847,99.75967315549147,99.32716568544996,0.9934274266373827,0.9932716568544996,0.9932514808362717,5.9999999999999995e-05
14,0.0322958831833089,0.029481560056171332,99.68757510213891,99.32716568544996,0.9933684646356117,0.9932716568544996,0.9932359113108873,5.9999999999999995e-05
15,0.03646342338459168,0.04525583519869925,99.80773852439317,98.99074852817493,0.9901273736182925,0.9899074852817493,0.9898329753027924,5.9999999999999995e-05
16,0.029327600131869736,0.03907605164721118,99.71160778658977,99.2430613961312,0.9926153852232708,0.992430613961312,0.992410169667839,5.9999999999999995e-05
17,0.03994737766522697,0.05137886628998738,99.71160778658977,98.82253994953743,0.9887981209388395,0.9882253994953742,0.988202102739901,1.2e-05
18,0.034660169370547965,0.03177420513882106,99.78370583994233,99.15895710681245,0.991821304029306,0.9915895710681245,0.9915592412985713,1.2e-05
19,0.0291526047435686,0.03574270018878834,99.73564047104061,99.2430613961312,0.9925553874543899,0.992430613961312,0.9923953724399202,1.2e-05
